# cuda_transfer_trace_v1 coverage=ordinary_backend_set_get_only timing=host_API_wall_not_DMA
id,context,request_id,seq_id,phase,pos_min,pos_max,backend_api,direction,tensor,offset_bytes,size_bytes,device,host_kind,pointer_status,start_monotonic_ns,copy_api_wall_ns,sync_api_wall_ns,copy_status,sync_status
119,target,25,0,prefill,63,67,set_tensor,H2D,"CUDA0#inp_embd (reshaped)#0",0,51200,0,pageable,0,862942231748533,14511,10770,0,0
120,target,25,0,prefill,63,67,set_tensor,H2D,"CUDA0#inp_s_seq_qnext#0",0,20,0,pageable,0,862942231789865,1720,2780,0,0
121,target,25,0,prefill,63,67,set_tensor,H2D,"CUDA0#ple_embd-1#0",0,51200,0,pageable,0,862942259704090,20271,4840,0,0
122,target,25,0,prefill,63,67,set_tensor,H2D,"CUDA0#qsa_win_cells#0",0,48,0,pageable,0,862942259749962,2470,3031,0,0
123,target,25,0,prefill,63,67,set_tensor,H2D,"CUDA0#qsa_win_pos#0",0,48,0,pageable,0,862942259758333,1300,2910,0,0
124,target,25,0,prefill,63,67,set_tensor,H2D,"CUDA0#qsa_win_blocks#0",0,12,0,pageable,0,862942259764073,1030,2930,0,0
125,target,25,0,prefill,63,67,set_tensor,H2D,"CUDA0#inp_pos#0",0,80,0,pageable,0,862942259769573,1250,3200,0,0
126,target,25,0,prefill,63,67,set_tensor,H2D,"CUDA0#KQ_mask#0",0,8192,0,pageable,0,862942259775494,1800,3170,0,0
127,target,25,0,prefill,63,67,get_tensor,D2H,"hc_mixed-12 (reshaped)",0,51200,0,pageable,0,862942272341407,16301,340,0,0
128,target,25,0,prefill,63,67,get_tensor,D2H,"ffn_moe_topk-12",0,8232,0,pageable,0,862942272366358,5110,230,0,0
129,target,25,0,prefill,63,67,set_tensor,H2D,"CUDA0#ffn_moe_down-12#0",0,512000,0,pageable,0,862942313385033,38862,13981,0,0
130,target,25,0,prefill,63,67,get_tensor,D2H,"hc_mixed-13 (reshaped)",0,51200,0,pageable,0,862942313713690,11900,400,0,0
131,target,25,0,prefill,63,67,get_tensor,D2H,"ffn_moe_topk-13",0,8232,0,pageable,0,862942313730350,5821,240,0,0
132,target,25,0,prefill,63,67,set_tensor,H2D,"CUDA0#ffn_moe_down-13#0",0,512000,0,pageable,0,862942345399712,38471,13391,0,0
133,target,25,0,prefill,63,67,get_tensor,D2H,"hc_mixed-14 (reshaped)",0,51200,0,pageable,0,862942345721228,15950,380,0,0
134,target,25,0,prefill,63,67,get_tensor,D2H,"ffn_moe_topk-14",0,8232,0,pageable,0,862942345741409,9220,250,0,0
135,target,25,0,prefill,63,67,set_tensor,H2D,"CUDA0#ffn_moe_down-14#0",0,512000,0,pageable,0,862942388506720,32142,17661,0,0
136,target,25,0,prefill,63,67,get_tensor,D2H,"hc_mixed-15 (reshaped)",0,51200,0,pageable,0,862942388884919,11201,340,0,0
137,target,25,0,prefill,63,67,get_tensor,D2H,"ffn_moe_topk-15",0,8232,0,pageable,0,862942388903630,5810,250,0,0
138,target,25,0,prefill,63,67,set_tensor,H2D,"CUDA0#ffn_moe_down-15#0",0,512000,0,pageable,0,862942447244994,35562,18851,0,0
139,target,25,0,prefill,63,67,get_tensor,D2H,"hc_mixed-16 (reshaped)",0,51200,0,pageable,0,862942447558940,11391,370,0,0
140,target,25,0,prefill,63,67,get_tensor,D2H,"ffn_moe_topk-16",0,8232,0,pageable,0,862942447574201,5400,230,0,0
141,target,25,0,prefill,63,67,set_tensor,H2D,"CUDA0#ffn_moe_down-16#0",0,512000,0,pageable,0,862942483858361,43342,14921,0,0
142,target,25,0,prefill,63,67,get_tensor,D2H,"hc_mixed-17 (reshaped)",0,51200,0,pageable,0,862942484203878,13101,450,0,0
143,target,25,0,prefill,63,67,get_tensor,D2H,"ffn_moe_topk-17",0,8232,0,pageable,0,862942484222889,6580,310,0,0
144,target,25,0,prefill,63,67,set_tensor,H2D,"CUDA0#ffn_moe_down-17#0",0,512000,0,pageable,0,862942503104566,40792,11090,0,0
145,target,25,0,prefill,63,67,get_tensor,D2H,"hc_mixed-18 (reshaped)",0,51200,0,pageable,0,862942503424352,11810,350,0,0
146,target,25,0,prefill,63,67,get_tensor,D2H,"ffn_moe_topk-18",0,8232,0,pageable,0,862942503440403,5730,230,0,0
147,target,25,0,prefill,63,67,set_tensor,H2D,"CUDA0#ffn_moe_down-18#0",0,512000,0,pageable,0,862942561386387,41792,11931,0,0
148,target,25,0,prefill,63,67,get_tensor,D2H,"hc_mixed-19 (reshaped)",0,51200,0,pageable,0,862942561793817,17811,460,0,0
149,target,25,0,prefill,63,67,get_tensor,D2H,"ffn_moe_topk-19",0,8232,0,pageable,0,862942561817239,9950,300,0,0
