seq,weight_entry,epoch,ids_rows,tensor,ggml_type,expert,stride,relative_offset,bytes,shadow_hit,shadow_bypass,context,request_id,seq_id,phase,pos_min,pos_max,shard,absolute_offset
52,0,1,63,blk.0.ffn_up_exps.weight,21,120,704000,84480000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1645518656
53,0,1,63,blk.0.ffn_up_exps.weight,21,122,704000,85888000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1646926656
54,0,1,63,blk.0.ffn_up_exps.weight,21,123,704000,86592000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1647630656
55,0,1,63,blk.0.ffn_up_exps.weight,21,126,704000,88704000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1649742656
56,0,1,63,blk.0.ffn_up_exps.weight,21,130,704000,91520000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1652558656
57,0,1,63,blk.0.ffn_up_exps.weight,21,131,704000,92224000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1653262656
58,0,1,63,blk.0.ffn_up_exps.weight,21,132,704000,92928000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1653966656
59,0,1,63,blk.0.ffn_up_exps.weight,21,136,704000,95744000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1656782656
60,0,1,63,blk.0.ffn_up_exps.weight,21,138,704000,97152000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1658190656
61,0,1,63,blk.0.ffn_up_exps.weight,21,139,704000,97856000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1658894656
62,0,1,63,blk.0.ffn_up_exps.weight,21,142,704000,99968000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1661006656
63,0,1,63,blk.0.ffn_up_exps.weight,21,144,704000,101376000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1662414656
64,0,1,63,blk.0.ffn_up_exps.weight,21,147,704000,103488000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1664526656
65,0,1,63,blk.0.ffn_up_exps.weight,21,148,704000,104192000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1665230656
66,0,1,63,blk.0.ffn_up_exps.weight,21,149,704000,104896000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1665934656
67,0,1,63,blk.0.ffn_up_exps.weight,21,156,704000,109824000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1670862656
68,0,1,63,blk.0.ffn_up_exps.weight,21,160,704000,112640000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1673678656
69,0,1,63,blk.0.ffn_up_exps.weight,21,161,704000,113344000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1674382656
70,0,1,63,blk.0.ffn_up_exps.weight,21,162,704000,114048000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1675086656
71,0,1,63,blk.0.ffn_up_exps.weight,21,165,704000,116160000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1677198656
72,0,1,63,blk.0.ffn_up_exps.weight,21,167,704000,117568000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1678606656
73,0,1,63,blk.0.ffn_up_exps.weight,21,168,704000,118272000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1679310656
74,0,1,63,blk.0.ffn_up_exps.weight,21,169,704000,118976000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1680014656
75,0,1,63,blk.0.ffn_up_exps.weight,21,170,704000,119680000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1680718656
76,0,1,63,blk.0.ffn_up_exps.weight,21,171,704000,120384000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1681422656
77,0,1,63,blk.0.ffn_up_exps.weight,21,173,704000,121792000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1682830656
78,0,1,63,blk.0.ffn_up_exps.weight,21,174,704000,122496000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1683534656
79,0,1,63,blk.0.ffn_up_exps.weight,21,175,704000,123200000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1684238656
80,0,1,63,blk.0.ffn_up_exps.weight,21,176,704000,123904000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1684942656
81,0,1,63,blk.0.ffn_up_exps.weight,21,178,704000,125312000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1686350656
82,0,1,63,blk.0.ffn_up_exps.weight,21,180,704000,126720000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1687758656
83,0,1,63,blk.0.ffn_up_exps.weight,21,184,704000,129536000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1690574656
84,0,1,63,blk.0.ffn_up_exps.weight,21,186,704000,130944000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1691982656
85,0,1,63,blk.0.ffn_up_exps.weight,21,187,704000,131648000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1692686656
86,0,1,63,blk.0.ffn_up_exps.weight,21,190,704000,133760000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1694798656
87,0,1,63,blk.0.ffn_up_exps.weight,21,192,704000,135168000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1696206656
88,0,1,63,blk.0.ffn_up_exps.weight,21,195,704000,137280000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1698318656
89,0,1,63,blk.0.ffn_up_exps.weight,21,196,704000,137984000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1699022656
90,0,1,63,blk.0.ffn_up_exps.weight,21,197,704000,138688000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1699726656
91,0,1,63,blk.0.ffn_up_exps.weight,21,198,704000,139392000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1700430656
92,0,1,63,blk.0.ffn_up_exps.weight,21,200,704000,140800000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1701838656
93,0,1,63,blk.0.ffn_up_exps.weight,21,203,704000,142912000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1703950656
94,0,1,63,blk.0.ffn_up_exps.weight,21,205,704000,144320000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1705358656
95,0,1,63,blk.0.ffn_up_exps.weight,21,207,704000,145728000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1706766656
96,0,1,63,blk.0.ffn_up_exps.weight,21,208,704000,146432000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1707470656
97,0,1,63,blk.0.ffn_up_exps.weight,21,209,704000,147136000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1708174656
98,0,1,63,blk.0.ffn_up_exps.weight,21,211,704000,148544000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1709582656
99,0,1,63,blk.0.ffn_up_exps.weight,21,213,704000,149952000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1710990656
100,0,1,63,blk.0.ffn_up_exps.weight,21,214,704000,150656000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1711694656
101,0,1,63,blk.0.ffn_up_exps.weight,21,215,704000,151360000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1712398656
102,0,1,63,blk.0.ffn_up_exps.weight,21,218,704000,153472000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1714510656
103,0,1,63,blk.0.ffn_up_exps.weight,21,219,704000,154176000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1715214656
104,0,1,63,blk.0.ffn_up_exps.weight,21,220,704000,154880000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1715918656
105,0,1,63,blk.0.ffn_up_exps.weight,21,221,704000,155584000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1716622656
106,0,1,63,blk.0.ffn_up_exps.weight,21,223,704000,156992000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1718030656
107,0,1,63,blk.0.ffn_up_exps.weight,21,224,704000,157696000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1718734656
108,0,1,63,blk.0.ffn_up_exps.weight,21,226,704000,159104000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1720142656
109,0,1,63,blk.0.ffn_up_exps.weight,21,228,704000,160512000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1721550656
110,0,1,63,blk.0.ffn_up_exps.weight,21,233,704000,164032000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1725070656
111,0,1,63,blk.0.ffn_up_exps.weight,21,234,704000,164736000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1725774656
112,0,1,63,blk.0.ffn_up_exps.weight,21,235,704000,165440000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1726478656
113,0,1,63,blk.0.ffn_up_exps.weight,21,238,704000,167552000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1728590656
114,0,1,63,blk.0.ffn_up_exps.weight,21,239,704000,168256000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1729294656
115,0,1,63,blk.0.ffn_up_exps.weight,21,240,704000,168960000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1729998656
116,0,1,63,blk.0.ffn_up_exps.weight,21,242,704000,170368000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1731406656
117,0,1,63,blk.0.ffn_up_exps.weight,21,243,704000,171072000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1732110656
118,0,1,63,blk.0.ffn_up_exps.weight,21,246,704000,173184000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1734222656
119,0,1,63,blk.0.ffn_up_exps.weight,21,247,704000,173888000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1734926656
120,0,1,63,blk.0.ffn_up_exps.weight,21,249,704000,175296000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1736334656
