seq,weight_entry,epoch,ids_rows,tensor,ggml_type,expert,stride,relative_offset,bytes,shadow_hit,shadow_bypass,context,request_id,seq_id,phase,pos_min,pos_max,shard,absolute_offset
68,216,1,63,blk.12.ffn_up_exps.weight,22,201,524800,105484800,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,854778432
69,216,1,63,blk.12.ffn_up_exps.weight,22,206,524800,108108800,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,857402432
70,216,1,63,blk.12.ffn_up_exps.weight,22,208,524800,109158400,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,858452032
71,216,1,63,blk.12.ffn_up_exps.weight,22,219,524800,114931200,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,864224832
72,216,1,63,blk.12.ffn_up_exps.weight,22,220,524800,115456000,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,864749632
73,216,1,63,blk.12.ffn_up_exps.weight,22,221,524800,115980800,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,865274432
74,216,1,63,blk.12.ffn_up_exps.weight,22,223,524800,117030400,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,866324032
75,216,1,63,blk.12.ffn_up_exps.weight,22,224,524800,117555200,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,866848832
76,216,1,63,blk.12.ffn_up_exps.weight,22,225,524800,118080000,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,867373632
77,216,1,63,blk.12.ffn_up_exps.weight,22,228,524800,119654400,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,868948032
78,216,1,63,blk.12.ffn_up_exps.weight,22,229,524800,120179200,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,869472832
79,216,1,63,blk.12.ffn_up_exps.weight,22,231,524800,121228800,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,870522432
80,216,1,63,blk.12.ffn_up_exps.weight,22,232,524800,121753600,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,871047232
81,216,1,63,blk.12.ffn_up_exps.weight,22,233,524800,122278400,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,871572032
82,216,1,63,blk.12.ffn_up_exps.weight,22,234,524800,122803200,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,872096832
83,216,1,63,blk.12.ffn_up_exps.weight,22,238,524800,124902400,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,874196032
